1,2.165µs
2,1.914µs
4,4.608µs
3,30.603µs
5,41.916µs
7,25.638µs
6,45.259µs
8,60.524µs
9,84.891µs
10,94.454µs
11,112.231µs
13,44.115µs
12,62.964µs
14,78.313µs
15,93.931µs
16,109.345µs
17,122.853µs
18,139.408µs
19,158.043µs
20,175.084µs
21,176.16µs
22,191.393µs
23,208.958µs
25,108.052µs
24,127.107µs
26,142.197µs
27,157.781µs
28,173.511µs
29,190.075µs
30,206.709µs
31,222.618µs
32,239.492µs
33,254.431µs
34,272.659µs
35,276.126µs
36,293.911µs
37,312.058µs
38,330.438µs
39,346.808µs
40,365.278µs
41,384.626µs
42,404.734µs
43,410.282µs
44,428.675µs
45,449.153µs
46,469.656µs
47,490.214µs
49,366.66µs
48,395.154µs
50,410.923µs
51,426.845µs
52,442.976µs
53,459.044µs
54,475.449µs
55,491.595µs
56,508.583µs
57,526.355µs
58,547.357µs
59,565.312µs
60,583.322µs
61,595.855µs
62,614.256µs
63,621.722µs
64,640.482µs
65,659.956µs
66,678.704µs
67,698.524µs
68,713.571µs
69,734.179µs
70,754.799µs
71,762.462µs
72,781.824µs
73,803.305µs
74,825.228µs
75,847.058µs
76,869.593µs
77,885.512µs
78,908.127µs
79,917.88µs
80,940.605µs
81,963.659µs
82,983.607µs
83,1.006995ms
84,1.031034ms
85,1.050282ms
86,1.07464ms
87,1.080792ms
88,1.168701ms
89,1.214906ms
90,1.260084ms
91,1.303753ms
92,1.351854ms
93,1.397582ms
94,1.446898ms
95,1.4795ms
97,2.981194ms
96,3.097281ms
98,3.216533ms
99,3.263783ms
100,3.299506ms
101,3.331468ms
102,3.364971ms
103,3.477069ms
104,3.516343ms
105,3.548498ms
106,3.582046ms
107,3.610762ms
108,3.631578ms
109,3.684027ms
110,3.696179ms
111,3.692519ms
112,3.705626ms
113,3.738188ms
114,3.751479ms
115,3.763964ms
116,3.776721ms
117,3.790702ms
118,3.804105ms
119,3.816368ms
120,3.828574ms
121,3.862743ms
122,3.87302ms
123,3.888478ms
124,3.901372ms
125,3.916502ms
126,3.931365ms
127,3.919292ms
128,3.934882ms
129,3.97902ms
130,4.000598ms
131,4.01675ms
132,4.03244ms
133,5.164501ms
134,5.373898ms
135,5.29364ms
136,5.316696ms
137,5.341888ms
138,5.358394ms
139,5.381243ms
140,5.402882ms
141,5.4286ms
142,5.451533ms
143,5.447616ms
144,5.470844ms
145,5.496164ms
147,8.627616ms
146,8.789337ms
148,8.77884ms
149,8.781822ms
150,8.78558ms
151,8.753175ms
152,8.753525ms
153,8.752773ms
154,8.755647ms
155,8.760433ms
156,8.761702ms
157,8.76543ms
158,8.38433ms
159,8.33848ms
160,8.336054ms
161,8.336902ms
162,8.339906ms
163,8.34498ms
164,8.344987ms
165,8.352934ms
166,8.358741ms
167,8.339259ms
168,8.352594ms
169,8.370528ms
170,8.295997ms
171,8.311769ms
172,8.322962ms
173,8.305153ms
174,8.315034ms
175,8.275223ms
176,8.290785ms
177,8.294688ms
178,8.310672ms
179,8.328848ms
180,8.338842ms
181,8.357017ms
182,8.203929ms
183,8.202668ms
184,8.217931ms
185,8.226794ms
186,8.44735ms
187,8.588074ms
188,8.627055ms
189,8.623662ms
190,8.620691ms
191,8.617326ms
192,4.626071ms
193,4.677976ms
194,4.727419ms
195,4.831849ms
196,4.886954ms
197,4.963645ms
199,12.689251ms
198,12.772133ms
200,12.791638ms
201,12.808687ms
202,12.825375ms
203,12.84235ms
204,12.861294ms
205,12.877906ms
206,12.896442ms
207,12.999239ms
208,13.025424ms
209,13.117772ms
210,13.181399ms
211,13.192093ms
212,13.230769ms
213,13.271162ms
214,13.309816ms
215,13.774224ms
216,13.915516ms
217,13.994536ms
218,14.059994ms
219,14.02658ms
220,6.429057ms
221,6.507399ms
222,6.576616ms
223,6.65282ms
224,6.73073ms
225,6.810998ms
226,6.890856ms
227,6.977753ms
228,7.066943ms
229,7.072989ms
231,18.386247ms
230,18.484889ms
232,18.497434ms
233,18.516273ms
234,18.531064ms
235,18.409197ms
236,18.42169ms
237,18.438553ms
238,18.456929ms
239,18.474547ms
240,18.492281ms
241,18.510644ms
242,18.490698ms
243,18.510016ms
244,18.530394ms
245,18.563339ms
246,18.522844ms
247,18.54538ms
248,18.517469ms
249,18.538756ms
250,18.538321ms
251,18.545035ms
252,18.567306ms
253,18.58669ms
254,18.612661ms
255,18.639127ms
256,18.647257ms
257,18.673847ms
258,18.673344ms
259,18.648415ms
260,18.672802ms
261,18.653323ms
262,18.683483ms
263,18.710658ms
264,18.708435ms
265,18.814654ms
266,18.804686ms
267,18.829518ms
268,19.591328ms
269,19.631703ms
270,19.639014ms
271,19.651576ms
272,19.681092ms
273,19.741628ms
274,19.740321ms
275,19.771784ms
276,19.789849ms
277,19.762556ms
278,19.974546ms
279,20.109736ms
281,38.65718ms
280,48.99537ms
282,48.968885ms
283,49.127553ms
284,49.38694ms
285,49.414635ms
286,49.67715ms
287,49.952212ms
288,50.981914ms
289,51.336737ms
290,51.641904ms
291,51.951546ms
292,53.530912ms
293,55.559409ms
294,56.006124ms
295,56.522876ms
296,102.101278ms
297,102.452738ms
298,102.482039ms
299,102.524651ms
300,102.567465ms
301,102.794052ms
302,102.838591ms
303,102.879321ms
304,102.919858ms
305,103.098989ms
306,103.118343ms
307,103.281106ms
308,103.320433ms
309,104.239187ms
310,104.487662ms
311,105.658836ms
312,106.103466ms
313,106.185769ms
314,106.376408ms
315,106.426145ms
316,106.490594ms
342,90.268843ms
318,107.299915ms
319,107.293142ms
320,88.614439ms
321,88.648591ms
322,88.679059ms
323,88.708804ms
324,88.740938ms
325,88.900824ms
326,88.970514ms
327,89.03193ms
328,89.084484ms
329,89.168774ms
330,89.229768ms
331,89.30927ms
332,89.481722ms
333,89.541838ms
334,89.589274ms
335,89.640345ms
336,89.699049ms
337,89.766026ms
338,89.832991ms
339,89.90346ms
340,90.060151ms
343,90.532831ms
317,107.291387ms
344,90.598913ms
345,90.648841ms
341,90.205067ms
346,90.7017ms
347,91.14646ms
349,96.586529ms
348,97.30028ms
350,97.651609ms
351,111.967985ms
352,112.032479ms
353,112.055935ms
354,112.079572ms
355,112.094012ms
356,112.118614ms
357,112.146552ms
358,112.156994ms
359,112.178492ms
360,112.202134ms
361,112.227789ms
362,112.254152ms
363,113.838031ms
364,113.927765ms
365,113.977259ms
366,114.231678ms
367,114.302033ms
368,114.338834ms
369,114.367213ms
370,114.396407ms
371,114.42375ms
372,114.46383ms
373,111.113589ms
374,111.113536ms
375,111.139909ms
376,111.180843ms
377,111.214104ms
378,111.247181ms
379,111.277939ms
380,111.311849ms
381,111.328845ms
382,111.328885ms
383,111.338636ms
384,111.381573ms
385,111.374674ms
386,111.40016ms
387,111.417007ms
388,111.42239ms
389,111.450601ms
390,111.43343ms
391,111.463821ms
392,111.45851ms
393,111.472998ms
394,111.49325ms
395,111.492947ms
396,111.524245ms
397,111.523917ms
398,111.383333ms
399,111.359903ms
400,111.378395ms
401,111.359239ms
402,111.376541ms
403,111.384081ms
404,111.388973ms
405,105.633331ms
406,105.534711ms
407,105.519074ms
408,105.480557ms
409,105.186888ms
410,105.018999ms
411,105.012729ms
